fecha,empresa,numero_comprobante,articulo,precio_original,precio_normalizado,moneda,origen_dato,metodo_estimacion,observaciones_origen
2022-07-12,HOLCIM,0280-00139977,CEMENTO CPC40 BOL 50 KG,778.68,15.5736,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-13,HOLCIM,0280-00140031,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-13,HOLCIM,0280-00140032,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-14,HOLCIM,0280-00140094,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-14,HOLCIM,0280-00140095,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-15,HOLCIM,0280-00140122,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-15,HOLCIM,0280-00140123,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-15,HOLCIM,0280-00140124,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-16,HOLCIM,0280-00140130,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-18,HOLCIM,0280-00140161,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-18,HOLCIM,0280-00140162,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-18,HOLCIM,0280-00140163,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
2022-07-19,HOLCIM,0280-00014207,CEMENTO CPC40 BOL 50 KG,829.30,16.5859,ARS,REAL,,Importado desde db/sicons.xlsx - HOLCIM - CEMENTO CPC40 BOL 50 KG
